doctor_id,department,day_of_week,time_of_day_minutes,patients_waiting,emergency_patients_waiting,doctor_workload,avg_consultation_time,actual_wait_time
7,General Medicine,3,952,14,2,15,6.63,103.68
7,General Medicine,6,496,12,2,29,8.07,108.37
5,General Medicine,2,594,10,4,13,10.15,116.32
5,General Medicine,1,626,9,0,12,10.81,102.68
8,Orthopedics,3,928,11,3,10,20.08,240.74
6,General Medicine,4,940,10,4,15,17.38,198.57
8,Orthopedics,2,649,12,0,16,19.35,235.5
4,General Medicine,4,754,6,0,18,8.36,55.0
2,Cardiology,4,657,1,0,30,24.47,28.68
5,General Medicine,2,943,2,0,26,8.65,25.29
7,General Medicine,5,714,3,2,3,5.07,12.56
9,Orthopedics,0,569,3,2,12,21.89,83.37
5,General Medicine,3,817,10,3,2,10.91,116.64
5,General Medicine,3,985,11,4,19,13.26,166.84
1,Cardiology,3,663,6,1,0,18.96,115.35
1,Cardiology,2,546,4,2,28,19.64,96.27
1,Cardiology,5,896,5,2,22,20.32,113.34
5,General Medicine,4,650,14,4,25,12.76,194.02
8,Orthopedics,2,930,0,0,19,17.11,0.0
6,General Medicine,2,813,0,0,24,17.14,0.0
7,General Medicine,2,902,0,0,0,8.33,0.0
5,General Medicine,5,559,14,0,15,11.86,161.47
10,Orthopedics,1,958,12,2,26,13.21,170.51
3,Cardiology,6,727,4,2,28,14.76,78.79
6,General Medicine,4,765,11,1,23,15.18,188.6
1,Cardiology,3,935,14,3,3,20.33,300.27
10,Orthopedics,0,518,5,1,0,15.51,79.5
4,General Medicine,1,491,0,0,9,8.66,0.0
10,Orthopedics,0,585,2,1,13,17.16,44.13
2,Cardiology,0,500,2,0,14,26.77,55.91
5,General Medicine,6,863,3,3,9,9.67,37.92
1,Cardiology,1,754,13,3,9,21.68,303.49
4,General Medicine,5,563,2,2,18,9.51,28.38
8,Orthopedics,0,900,12,0,0,23.55,278.01
10,Orthopedics,5,516,15,0,30,15.49,241.34
8,Orthopedics,0,645,11,1,18,18.0,207.42
1,Cardiology,1,671,15,3,26,21.0,339.01
4,General Medicine,0,975,2,0,21,11.52,41.21
8,Orthopedics,1,602,0,0,0,18.79,0.0
6,General Medicine,0,996,10,1,16,13.0,146.69
5,General Medicine,6,625,12,0,6,12.94,152.92
6,General Medicine,0,916,14,0,5,13.87,195.12
1,Cardiology,4,824,12,4,11,20.96,276.26
9,Orthopedics,5,919,11,0,8,20.15,222.56
4,General Medicine,4,496,7,1,13,9.78,73.11
7,General Medicine,2,617,8,4,15,7.73,72.87
5,General Medicine,4,680,3,1,23,14.61,53.69
1,Cardiology,0,739,4,4,30,24.4,136.83
7,General Medicine,6,990,4,4,16,10.27,60.94
3,Cardiology,4,745,15,4,14,13.7,231.34
8,Orthopedics,2,689,7,3,25,18.08,150.06
5,General Medicine,4,967,2,2,6,14.93,54.32
3,Cardiology,4,838,1,0,10,12.75,11.47
1,Cardiology,4,809,11,0,30,21.15,234.16
1,Cardiology,0,844,9,3,0,21.48,216.47
8,Orthopedics,3,966,3,2,14,17.98,74.87
9,Orthopedics,4,556,13,3,13,20.47,286.83
5,General Medicine,6,506,5,1,1,12.53,66.48
2,Cardiology,3,498,0,0,7,25.33,0.0
2,Cardiology,5,527,6,2,16,23.1,155.86
8,Orthopedics,5,935,8,1,1,19.48,162.55
5,General Medicine,1,882,11,3,4,10.56,127.34
3,Cardiology,1,929,8,3,11,14.34,129.35
4,General Medicine,0,734,11,0,9,7.88,90.94
2,Cardiology,5,817,3,3,14,26.77,107.62
9,Orthopedics,6,1008,1,1,21,20.43,36.28
7,General Medicine,5,917,12,0,28,7.49,92.02
7,General Medicine,1,946,4,2,12,5.52,19.29
8,Orthopedics,3,760,11,3,14,20.32,249.55
3,Cardiology,5,565,12,4,20,16.37,224.02
1,Cardiology,3,713,2,2,19,24.42,65.98
6,General Medicine,6,843,6,0,15,14.27,87.97
10,Orthopedics,4,654,11,4,4,17.79,221.47
10,Orthopedics,0,881,0,0,24,15.05,0.0
8,Orthopedics,6,538,11,1,0,16.86,191.11
2,Cardiology,0,724,2,1,11,24.68,65.27
9,Orthopedics,3,504,15,3,17,26.16,420.38
3,Cardiology,4,565,13,0,29,15.39,209.03
10,Orthopedics,4,735,2,1,15,15.64,41.46
7,General Medicine,6,539,7,2,10,8.42,62.76
7,General Medicine,4,711,8,2,10,5.0,42.9
10,Orthopedics,4,907,8,3,11,13.9,122.58
9,Orthopedics,6,743,15,2,6,26.58,426.51
2,Cardiology,3,483,8,3,5,24.87,220.39
1,Cardiology,3,962,14,4,21,18.55,298.48
2,Cardiology,6,580,15,0,8,24.3,365.49
6,General Medicine,2,763,6,4,5,11.6,89.32
4,General Medicine,2,786,2,2,22,9.09,31.88
8,Orthopedics,5,618,2,2,0,19.93,56.6
9,Orthopedics,4,1017,6,4,10,20.4,157.79
7,General Medicine,3,830,15,3,22,6.79,113.86
4,General Medicine,4,950,12,3,23,9.87,130.4
3,Cardiology,6,684,12,4,5,18.92,253.22
9,Orthopedics,0,976,7,3,12,24.83,208.9
7,General Medicine,2,942,14,2,5,12.07,178.3
7,General Medicine,5,669,6,3,28,9.29,70.15
5,General Medicine,2,594,4,2,26,9.87,45.31
9,Orthopedics,1,942,5,4,28,21.34,142.67
4,General Medicine,1,748,14,4,2,12.02,184.23
9,Orthopedics,5,949,4,3,10,20.55,101.67
2,Cardiology,2,815,2,2,24,27.07,77.88
2,Cardiology,1,700,0,0,25,24.58,0.0
4,General Medicine,3,993,7,2,1,8.26,70.42
4,General Medicine,2,715,5,1,5,12.42,64.4
5,General Medicine,1,895,3,1,28,16.41,64.67
2,Cardiology,4,540,12,2,11,24.39,305.67
9,Orthopedics,6,1012,13,2,17,23.43,332.53
7,General Medicine,0,928,15,1,17,6.8,109.79
3,Cardiology,0,935,11,2,21,16.24,192.1
1,Cardiology,2,615,3,0,24,19.67,66.38
4,General Medicine,3,995,13,2,20,9.18,130.63
1,Cardiology,3,833,10,1,0,19.53,203.85
7,General Medicine,0,521,12,0,22,10.25,131.1
2,Cardiology,3,943,3,3,18,23.77,95.78
6,General Medicine,1,810,7,4,2,17.2,147.59
10,Orthopedics,1,811,13,0,7,12.12,158.76
4,General Medicine,1,724,1,1,25,11.02,21.41
3,Cardiology,1,646,8,3,18,18.46,168.2
2,Cardiology,6,852,4,2,6,22.43,100.5
10,Orthopedics,0,540,3,2,1,16.85,62.41
5,General Medicine,5,659,15,4,26,14.67,244.24
6,General Medicine,2,617,15,1,28,14.8,234.99
6,General Medicine,5,592,4,1,5,17.71,78.65
9,Orthopedics,2,611,7,2,15,21.54,167.67
3,Cardiology,1,513,3,1,10,13.79,49.72
3,Cardiology,1,952,14,0,8,18.63,266.99
10,Orthopedics,2,487,0,0,18,17.43,0.0
5,General Medicine,0,728,10,2,28,11.12,126.69
10,Orthopedics,3,489,14,3,5,11.73,172.66
10,Orthopedics,0,943,7,4,28,16.28,144.48
6,General Medicine,2,497,4,4,9,12.58,69.67
1,Cardiology,6,696,1,0,9,18.42,24.34
10,Orthopedics,2,857,14,3,20,16.23,246.93
6,General Medicine,1,844,2,2,0,15.59,36.94
6,General Medicine,2,869,3,2,23,17.81,68.05
5,General Medicine,2,548,13,3,21,12.95,181.79
2,Cardiology,1,797,5,4,2,25.88,156.73
3,Cardiology,3,891,11,1,25,12.46,151.19
10,Orthopedics,0,999,15,4,23,8.07,142.27
3,Cardiology,6,646,11,3,4,18.1,218.87
6,General Medicine,1,813,10,4,9,15.63,179.28
10,Orthopedics,2,663,14,0,8,12.64,179.7
8,Orthopedics,0,498,6,1,18,17.61,118.01
10,Orthopedics,1,1004,11,4,9,17.87,226.85
8,Orthopedics,4,516,12,3,11,16.05,211.21
7,General Medicine,1,616,13,4,11,10.91,158.6
3,Cardiology,2,894,2,2,22,11.5,33.76
10,Orthopedics,1,802,9,3,22,13.6,138.4
10,Orthopedics,3,826,3,2,24,13.04,53.71
5,General Medicine,5,852,2,0,15,13.02,34.38
8,Orthopedics,6,733,5,4,13,18.37,118.37
4,General Medicine,2,1008,1,0,24,7.62,21.23
7,General Medicine,1,852,0,0,30,9.04,0.0
4,General Medicine,0,735,0,0,11,9.86,0.0
6,General Medicine,2,714,8,4,28,14.42,139.04
4,General Medicine,5,900,4,3,1,10.5,51.87
1,Cardiology,5,914,0,0,28,15.93,0.0
2,Cardiology,2,721,13,1,9,22.52,306.26
7,General Medicine,2,1009,12,4,23,5.0,81.34
6,General Medicine,3,671,12,0,11,15.84,192.93
6,General Medicine,2,850,8,2,3,13.42,112.33
8,Orthopedics,6,804,4,1,22,22.39,103.96
7,General Medicine,4,979,5,4,20,12.73,84.56
3,Cardiology,6,787,14,3,7,15.63,238.9
3,Cardiology,4,505,14,2,25,15.82,233.87
5,General Medicine,4,639,15,0,12,11.3,173.0
8,Orthopedics,0,511,7,3,13,15.38,122.37
4,General Medicine,6,686,13,2,20,7.9,111.61
10,Orthopedics,4,523,13,0,13,13.69,178.2
8,Orthopedics,0,862,2,2,12,16.12,40.49
1,Cardiology,4,694,12,0,21,23.07,279.85
3,Cardiology,5,790,0,0,11,11.82,0.0
2,Cardiology,3,883,12,2,28,25.51,333.11
10,Orthopedics,4,782,12,4,12,14.61,192.48
4,General Medicine,4,826,11,4,6,10.18,125.59
5,General Medicine,4,861,10,0,19,10.38,102.1
1,Cardiology,6,928,8,2,11,24.26,214.01
10,Orthopedics,5,666,5,4,16,16.55,106.34
1,Cardiology,4,657,10,1,6,17.74,181.45
9,Orthopedics,4,578,3,2,4,21.92,75.95
7,General Medicine,4,934,9,1,15,8.57,88.41
5,General Medicine,6,628,7,0,6,11.56,79.71
9,Orthopedics,4,664,9,3,28,23.71,244.01
4,General Medicine,4,965,13,2,7,10.67,146.99
4,General Medicine,6,875,12,3,15,7.91,110.39
10,Orthopedics,3,943,14,1,30,13.0,189.32
9,Orthopedics,4,531,14,0,20,24.06,342.8
7,General Medicine,4,739,4,4,10,5.46,34.73
2,Cardiology,5,721,4,2,20,24.03,116.44
4,General Medicine,3,1017,1,0,2,9.47,18.97
1,Cardiology,0,542,6,1,8,20.36,134.13
3,Cardiology,2,891,2,1,3,18.34,46.03
5,General Medicine,0,1000,0,0,21,15.3,0.0
10,Orthopedics,3,696,15,2,8,14.96,231.36
9,Orthopedics,6,793,2,1,13,21.92,53.04
3,Cardiology,1,575,12,0,27,12.33,151.95
6,General Medicine,6,713,5,4,0,11.8,74.38
3,Cardiology,2,607,2,2,9,15.07,44.02
10,Orthopedics,2,759,12,4,3,15.03,204.72
2,Cardiology,4,480,11,1,11,21.59,249.82
10,Orthopedics,3,523,13,1,1,16.37,215.02
4,General Medicine,6,953,15,1,12,5.0,80.29
3,Cardiology,2,722,7,1,2,14.97,112.08
7,General Medicine,1,525,2,1,9,9.11,31.65
3,Cardiology,6,534,15,1,18,16.6,258.53
5,General Medicine,6,499,12,4,10,15.65,209.76
6,General Medicine,1,507,2,1,21,12.65,35.95
1,Cardiology,3,775,0,0,11,16.82,0.0
2,Cardiology,2,635,9,0,25,25.18,233.09
4,General Medicine,3,827,8,1,21,7.76,66.34
6,General Medicine,3,644,12,2,14,12.83,166.48
5,General Medicine,1,843,11,1,25,13.04,154.45
3,Cardiology,6,523,12,3,4,17.31,227.28
1,Cardiology,5,683,11,3,18,17.3,208.11
8,Orthopedics,1,667,10,4,26,16.28,190.04
4,General Medicine,0,550,13,3,1,13.38,190.87
7,General Medicine,5,1006,1,0,18,8.18,18.72
4,General Medicine,2,804,2,0,14,12.02,29.39
6,General Medicine,0,813,11,2,21,14.18,170.28
8,Orthopedics,6,888,5,4,29,19.89,129.31
10,Orthopedics,2,884,0,0,4,14.47,0.0
1,Cardiology,6,692,14,2,21,18.04,267.71
6,General Medicine,4,623,9,4,8,13.91,146.3
10,Orthopedics,5,531,3,1,20,13.49,50.92
8,Orthopedics,6,898,14,4,2,21.81,334.06
1,Cardiology,5,703,15,3,19,20.61,328.35
2,Cardiology,0,537,12,4,18,24.45,319.97
7,General Medicine,1,853,13,3,21,7.81,113.06
2,Cardiology,3,687,12,2,13,21.98,283.46
4,General Medicine,4,899,6,2,6,7.43,49.14
6,General Medicine,0,788,15,2,11,16.41,260.13
7,General Medicine,4,852,7,4,16,10.25,83.21
4,General Medicine,5,604,8,1,3,8.03,67.9
2,Cardiology,5,600,15,4,9,25.25,410.63
7,General Medicine,0,744,7,3,13,9.65,82.98
3,Cardiology,6,525,5,3,13,14.24,88.93
8,Orthopedics,2,507,12,4,22,19.05,259.99
2,Cardiology,4,966,10,1,26,26.75,289.96
1,Cardiology,4,841,8,0,0,19.05,155.39
10,Orthopedics,5,869,11,0,14,13.84,151.41
2,Cardiology,2,710,3,0,30,24.22,81.01
7,General Medicine,4,790,11,0,1,5.0,55.36
4,General Medicine,1,850,15,2,13,10.15,165.04
9,Orthopedics,5,761,1,1,22,24.89,43.07
10,Orthopedics,5,574,0,0,24,15.65,0.0
1,Cardiology,4,626,11,0,30,20.89,238.81
9,Orthopedics,5,566,13,0,22,20.4,268.72
4,General Medicine,6,705,5,1,29,7.95,52.22
4,General Medicine,3,962,13,4,22,11.15,169.17
10,Orthopedics,3,943,13,4,22,15.02,217.47
5,General Medicine,4,705,9,4,17,14.28,147.16
9,Orthopedics,2,729,4,0,24,23.97,110.86
7,General Medicine,5,629,10,0,3,5.0,52.6
4,General Medicine,0,968,11,3,27,11.75,157.26
9,Orthopedics,0,855,15,1,10,18.88,294.99
3,Cardiology,3,852,0,0,2,13.44,0.0
4,General Medicine,6,798,11,4,20,8.7,108.48
4,General Medicine,1,959,4,1,14,12.48,58.94
2,Cardiology,5,496,15,0,24,22.82,346.95
7,General Medicine,0,624,8,2,0,13.45,117.36
3,Cardiology,6,530,2,2,27,17.67,45.54
10,Orthopedics,2,536,1,1,23,14.7,18.1
10,Orthopedics,1,1010,8,4,19,13.17,125.67
6,General Medicine,0,875,9,0,29,15.92,148.17
3,Cardiology,5,505,4,3,3,11.7,55.87
6,General Medicine,5,647,6,0,20,14.33,88.8
7,General Medicine,2,532,7,3,15,9.03,64.69
2,Cardiology,5,620,11,2,8,25.79,299.48
5,General Medicine,2,850,15,1,15,13.33,205.08
1,Cardiology,0,837,15,4,17,20.06,327.27
5,General Medicine,0,597,4,3,18,15.2,74.5
2,Cardiology,4,873,7,4,24,28.98,245.01
7,General Medicine,5,931,1,1,5,7.79,9.22
10,Orthopedics,6,993,7,0,12,17.12,128.55
7,General Medicine,1,572,11,2,15,9.27,109.72
3,Cardiology,2,782,1,0,29,10.95,19.73
1,Cardiology,5,684,10,1,15,19.62,209.85
4,General Medicine,0,496,3,0,27,11.52,34.72
1,Cardiology,2,633,6,1,15,20.31,138.08
10,Orthopedics,1,849,4,2,7,14.24,63.58
2,Cardiology,1,715,1,1,19,21.52,27.92
10,Orthopedics,6,740,8,0,27,14.97,132.58
2,Cardiology,5,754,13,0,27,24.61,324.96
8,Orthopedics,0,844,4,3,6,17.94,87.75
1,Cardiology,4,499,2,0,25,19.88,46.78
3,Cardiology,0,894,8,1,16,15.28,128.63
8,Orthopedics,2,1004,4,0,12,21.97,105.86
10,Orthopedics,3,856,13,2,23,12.21,172.77
7,General Medicine,3,877,7,2,16,11.64,91.67
6,General Medicine,2,939,5,4,9,13.37,83.75
6,General Medicine,2,647,5,4,11,14.87,94.92
1,Cardiology,4,490,5,3,26,18.33,112.83
3,Cardiology,3,635,6,2,9,18.43,122.05
4,General Medicine,2,859,10,4,11,10.79,126.79
3,Cardiology,6,693,11,4,13,12.89,159.75
5,General Medicine,4,1005,8,2,7,13.73,132.15
3,Cardiology,1,691,5,2,26,13.58,79.88
7,General Medicine,4,494,10,2,9,8.68,97.24
3,Cardiology,2,804,15,1,13,15.99,249.25
7,General Medicine,6,495,6,4,23,5.84,42.86
8,Orthopedics,0,828,3,1,4,16.04,52.38
10,Orthopedics,0,515,12,3,11,15.49,208.75
2,Cardiology,4,876,13,1,0,23.84,318.96
9,Orthopedics,4,988,5,2,15,22.18,133.18
8,Orthopedics,4,575,15,1,1,19.63,298.26
4,General Medicine,4,773,15,2,0,11.03,179.63
5,General Medicine,2,816,7,2,12,7.87,59.61
6,General Medicine,1,484,1,0,26,16.36,20.55
6,General Medicine,6,782,15,0,10,15.72,234.38
5,General Medicine,4,700,15,3,20,12.19,202.78
4,General Medicine,4,922,8,0,23,11.54,92.73
4,General Medicine,0,536,4,2,15,8.68,38.46
7,General Medicine,0,635,4,1,8,8.67,37.93
8,Orthopedics,1,504,5,4,23,18.63,121.73
5,General Medicine,1,575,11,1,14,13.07,158.97
3,Cardiology,5,689,12,3,30,14.38,185.9
10,Orthopedics,6,998,7,2,12,17.36,149.2
5,General Medicine,5,727,5,0,29,8.47,53.11
8,Orthopedics,6,655,2,1,2,17.5,42.2
1,Cardiology,6,617,0,0,21,16.47,0.0
1,Cardiology,4,788,6,3,24,19.5,139.7
1,Cardiology,1,956,12,2,1,20.4,252.12
7,General Medicine,4,791,6,1,30,9.95,74.87
4,General Medicine,1,868,1,1,6,12.71,14.06
6,General Medicine,0,847,12,4,19,13.36,181.73
2,Cardiology,6,758,13,3,12,23.07,331.57
4,General Medicine,0,647,5,2,23,9.16,57.74
9,Orthopedics,6,500,10,0,0,24.58,242.45
5,General Medicine,3,611,3,1,3,13.76,43.05
4,General Medicine,4,988,12,4,7,11.71,158.91
5,General Medicine,6,544,8,1,12,14.21,123.96
10,Orthopedics,0,642,5,0,13,15.05,70.99
8,Orthopedics,6,780,5,3,26,21.73,143.22
6,General Medicine,1,774,5,4,7,18.45,121.16
1,Cardiology,4,773,14,1,0,18.4,266.61
2,Cardiology,6,688,12,2,19,28.57,362.99
1,Cardiology,5,925,3,1,12,21.22,72.89
6,General Medicine,4,683,11,3,1,17.03,201.67
1,Cardiology,2,808,13,0,6,18.64,240.73
2,Cardiology,3,670,4,1,9,22.99,104.45
2,Cardiology,5,861,1,0,28,22.32,30.47
10,Orthopedics,4,913,4,1,14,15.57,73.24
5,General Medicine,5,953,0,0,25,11.98,0.0
2,Cardiology,0,1002,6,1,0,26.98,177.57
6,General Medicine,1,625,14,0,29,13.95,202.18
9,Orthopedics,2,692,12,1,25,18.56,231.72
6,General Medicine,3,887,7,4,9,15.98,128.34
2,Cardiology,0,716,6,1,20,24.41,154.17
9,Orthopedics,3,769,6,4,8,20.52,156.31
3,Cardiology,3,487,0,0,12,16.12,0.0
8,Orthopedics,4,854,10,2,0,18.92,202.94
6,General Medicine,1,859,4,2,15,14.6,72.38
3,Cardiology,2,816,10,3,12,12.75,144.44
7,General Medicine,1,932,2,1,12,10.53,27.91
3,Cardiology,0,775,9,1,11,12.5,123.5
7,General Medicine,2,848,12,4,20,10.19,147.75
10,Orthopedics,6,596,7,1,14,17.2,129.86
5,General Medicine,0,515,10,2,8,10.12,109.62
10,Orthopedics,4,523,10,0,27,17.7,176.84
6,General Medicine,4,812,10,1,21,17.87,182.79
7,General Medicine,3,876,0,0,3,9.89,0.0
3,Cardiology,1,703,13,2,0,13.89,182.81
2,Cardiology,5,889,2,2,7,22.64,57.22
1,Cardiology,6,896,6,4,19,20.12,151.35
6,General Medicine,5,717,9,4,13,16.28,169.7
6,General Medicine,1,657,4,4,18,14.42,76.27
10,Orthopedics,1,857,11,0,25,13.93,157.58
3,Cardiology,6,927,13,4,5,14.61,213.37
5,General Medicine,0,734,2,1,30,10.96,37.55
10,Orthopedics,5,813,14,4,8,16.7,254.88
4,General Medicine,1,706,9,3,2,11.09,108.04
10,Orthopedics,5,736,0,0,15,13.24,0.0
9,Orthopedics,0,680,10,0,11,24.52,249.96
8,Orthopedics,6,959,5,4,19,17.66,108.06
1,Cardiology,2,769,8,4,26,20.72,206.75
2,Cardiology,5,582,11,4,27,21.91,276.64
9,Orthopedics,1,588,8,3,17,21.54,195.57
8,Orthopedics,0,752,8,0,19,17.31,147.32
9,Orthopedics,5,645,11,0,27,19.89,229.58
4,General Medicine,0,680,13,3,17,11.28,165.89
10,Orthopedics,2,713,12,3,17,13.0,171.32
2,Cardiology,2,585,4,3,24,20.68,104.26
4,General Medicine,6,828,9,4,29,10.4,111.83
4,General Medicine,2,1009,9,3,24,11.39,129.04
8,Orthopedics,6,582,11,0,4,19.64,214.13
3,Cardiology,6,653,3,1,20,17.1,62.37
5,General Medicine,0,550,8,1,20,13.44,117.04
6,General Medicine,4,609,7,4,22,15.39,130.0
1,Cardiology,0,723,9,0,4,17.32,160.71
8,Orthopedics,2,1009,8,2,5,18.9,167.61
7,General Medicine,0,938,0,0,23,5.0,0.0
2,Cardiology,5,804,15,2,15,27.99,435.41
7,General Medicine,6,566,15,4,11,6.34,107.88
10,Orthopedics,4,1019,8,4,28,16.86,168.55
3,Cardiology,3,724,9,0,5,14.56,140.43
8,Orthopedics,6,752,15,2,29,21.71,351.64
6,General Medicine,3,752,11,2,14,14.84,174.95
5,General Medicine,0,732,8,1,26,11.0,101.15
1,Cardiology,0,899,11,0,0,18.25,200.41
10,Orthopedics,5,952,12,4,13,16.02,211.03
5,General Medicine,3,513,11,1,1,10.29,118.71
3,Cardiology,6,855,3,2,25,15.24,62.45
9,Orthopedics,3,972,1,0,26,23.27,45.07
6,General Medicine,3,972,1,0,1,13.2,19.65
10,Orthopedics,2,538,1,0,6,15.8,18.96
2,Cardiology,2,641,4,2,3,25.95,125.4
6,General Medicine,6,626,5,2,14,16.74,95.91
1,Cardiology,1,846,12,3,16,22.64,294.89
8,Orthopedics,6,662,15,3,17,19.15,309.05
3,Cardiology,6,973,8,0,18,12.65,115.14
6,General Medicine,3,944,7,2,1,16.57,125.09
6,General Medicine,5,724,4,1,25,15.0,74.02
9,Orthopedics,4,698,14,0,28,22.06,315.37
3,Cardiology,2,765,12,4,16,16.48,224.65
10,Orthopedics,6,807,10,2,13,14.0,150.44
5,General Medicine,6,755,7,3,1,14.72,118.3
6,General Medicine,1,868,8,1,27,13.92,121.73
6,General Medicine,3,748,3,1,2,13.12,50.23
4,General Medicine,5,918,6,3,1,12.31,83.13
1,Cardiology,1,713,15,0,27,19.83,302.67
6,General Medicine,5,560,1,1,18,19.32,29.61
7,General Medicine,3,767,11,3,8,6.44,78.51
1,Cardiology,0,963,0,0,17,18.88,0.0
4,General Medicine,6,577,7,4,22,12.53,104.1
6,General Medicine,6,502,8,2,2,13.77,125.39
3,Cardiology,5,494,10,0,13,16.61,165.2
6,General Medicine,2,756,7,3,26,13.26,120.79
2,Cardiology,0,854,3,0,3,29.67,88.85
8,Orthopedics,3,525,7,1,12,19.6,145.31
4,General Medicine,5,1018,7,0,19,11.78,93.53
5,General Medicine,5,911,3,3,7,8.67,36.01
6,General Medicine,2,880,8,0,2,19.24,157.27
3,Cardiology,5,858,7,0,19,12.56,85.28
8,Orthopedics,5,504,1,1,18,17.72,22.0
3,Cardiology,4,1006,1,0,25,9.96,19.11
2,Cardiology,2,518,9,3,16,27.97,276.15
4,General Medicine,2,526,3,3,30,7.42,33.99
5,General Medicine,0,707,1,1,19,13.91,24.25
3,Cardiology,6,914,10,2,7,12.84,133.96
5,General Medicine,3,648,7,2,15,12.45,97.8
6,General Medicine,6,551,6,1,29,15.21,102.08
6,General Medicine,4,640,12,1,14,17.33,218.72
8,Orthopedics,4,481,8,0,26,15.18,132.04
4,General Medicine,3,772,7,2,14,12.84,105.02
3,Cardiology,4,544,8,2,6,12.08,105.81
4,General Medicine,2,741,8,0,19,9.19,83.09
9,Orthopedics,1,977,4,0,23,21.79,98.3
9,Orthopedics,1,791,13,2,22,22.5,308.66
7,General Medicine,0,524,0,0,10,5.0,0.0
10,Orthopedics,3,925,13,3,26,13.64,195.9
5,General Medicine,0,507,9,2,19,11.9,118.4
6,General Medicine,3,719,9,1,14,13.92,137.16
9,Orthopedics,4,696,7,4,5,21.42,177.39
6,General Medicine,6,746,14,2,12,13.38,197.22
5,General Medicine,2,726,3,0,27,13.97,50.89
8,Orthopedics,6,765,5,1,1,16.7,90.61
2,Cardiology,0,976,4,0,20,28.64,127.4
2,Cardiology,3,724,14,0,22,28.67,414.73
1,Cardiology,5,601,11,1,25,19.31,221.46
4,General Medicine,4,625,13,3,25,11.85,165.58
3,Cardiology,6,529,13,3,19,12.62,177.01
10,Orthopedics,5,776,13,0,25,11.83,162.86
8,Orthopedics,5,766,1,1,3,18.9,28.23
8,Orthopedics,0,987,8,2,4,16.21,146.54
6,General Medicine,5,957,13,2,6,17.53,237.92
6,General Medicine,1,920,11,3,5,17.63,209.95
1,Cardiology,5,750,11,2,10,20.43,240.03
4,General Medicine,1,594,11,1,16,9.95,116.82
6,General Medicine,0,1012,14,2,15,16.83,257.09
2,Cardiology,4,971,3,1,9,27.0,95.89
8,Orthopedics,0,523,8,2,26,14.67,127.78
2,Cardiology,6,522,1,1,14,28.29,40.13
1,Cardiology,3,759,3,3,12,22.16,92.3
4,General Medicine,2,869,2,2,5,10.48,33.28
5,General Medicine,0,517,12,3,26,11.72,155.67
9,Orthopedics,5,641,5,2,6,22.5,123.83
10,Orthopedics,5,538,15,1,23,14.58,230.41
9,Orthopedics,5,1016,5,1,11,20.03,111.43
6,General Medicine,0,670,12,4,13,14.46,199.25
8,Orthopedics,6,1010,1,1,17,18.4,38.52
9,Orthopedics,2,989,2,1,26,22.77,64.78
3,Cardiology,2,911,3,0,18,16.25,49.83
7,General Medicine,2,548,13,0,10,9.69,128.37
2,Cardiology,1,530,3,0,19,27.69,91.6
10,Orthopedics,1,629,7,2,29,16.5,128.58
9,Orthopedics,4,542,7,0,25,24.27,176.45
7,General Medicine,0,488,11,3,12,6.27,77.88
6,General Medicine,2,675,10,4,29,18.69,216.48
5,General Medicine,5,517,4,3,5,14.94,73.26
6,General Medicine,3,500,0,0,8,17.13,0.0
3,Cardiology,1,920,6,4,27,15.48,114.33
4,General Medicine,0,947,8,0,25,11.1,93.49
7,General Medicine,0,818,12,3,18,11.62,158.36
7,General Medicine,3,939,6,2,13,7.14,52.16
2,Cardiology,3,903,2,2,25,25.07,72.29
9,Orthopedics,0,872,14,4,21,25.52,395.83
6,General Medicine,1,615,3,0,23,14.32,51.21
7,General Medicine,0,531,12,4,9,7.04,91.95
3,Cardiology,3,957,5,3,18,18.47,116.05
9,Orthopedics,5,492,10,3,29,20.42,229.05
4,General Medicine,4,969,1,0,29,7.5,17.78
2,Cardiology,2,830,13,4,14,23.82,342.3
5,General Medicine,4,571,3,0,23,11.99,42.85
7,General Medicine,1,743,7,3,14,5.0,44.79
6,General Medicine,5,1003,1,1,13,12.25,31.63
5,General Medicine,1,723,11,0,8,12.33,143.18
4,General Medicine,6,522,0,0,17,9.88,0.0
10,Orthopedics,3,646,10,1,14,16.94,177.23
4,General Medicine,3,713,7,1,28,11.94,89.33
10,Orthopedics,0,724,13,1,15,20.08,271.93
10,Orthopedics,5,488,5,0,26,15.52,81.84
7,General Medicine,2,571,2,2,19,8.35,27.31
6,General Medicine,0,538,12,0,16,15.18,184.64
8,Orthopedics,0,908,1,1,27,16.3,25.73
2,Cardiology,2,1005,15,4,20,25.3,420.1
4,General Medicine,1,515,1,0,0,10.79,10.26
5,General Medicine,2,845,1,0,16,11.81,15.82
7,General Medicine,2,968,5,1,17,6.62,45.76
9,Orthopedics,3,561,13,1,0,22.78,305.02
8,Orthopedics,0,768,3,2,8,17.09,68.32
7,General Medicine,2,849,8,0,18,7.35,66.88
4,General Medicine,2,1008,4,4,29,9.81,63.34
8,Orthopedics,4,583,2,1,11,18.24,43.02
5,General Medicine,0,521,15,1,9,12.77,194.36
1,Cardiology,5,916,12,2,20,21.99,278.45
7,General Medicine,0,856,5,1,1,9.7,49.52
6,General Medicine,4,683,2,1,15,19.87,51.03
10,Orthopedics,5,574,1,1,28,16.32,27.53
9,Orthopedics,5,985,13,0,19,22.96,301.85
